,,,,,,,,,,,,,,
,バーコード文字列,シーン名,サムネイル,年齢,カテゴリ,説明,不具合,,備考,リリース,アルファ版,a,分類,月
,19,L00067,,0〜2,数字(Math),"1～10の数字の空いている部分に
適切な物を選ぶ",,,,A,,未対応,,
,20,L00070,,0〜2,数字(Math),指定されたものの数を数える,,,,A,,未対応,,
,25,L10024,,3〜4,数字(Math),"おやつを二人で仲良く分ける
それぞれいくつになるか
お皿に乗せる",,,,A,○,未対応,,
,43,L20009,,5〜6,数字(Math),"ボールを箱に9個いれ振る
左側に何個かあったとき
右側に何個あるか答える
例：左側に3個⇒右側6個と答える

箱を振る時にスマホを
振っているような演出がある","・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,69,L00068,,0〜2,数字(Math),１から順番に数字をたどる,,,,B,,未対応,,
,72,L00083,,0〜2,数字(Math),1～8を順番に繋ぐ,,,,B,,未対応,,
,80,L10095,,3〜4,数字(Math),"左のいちごと右のいちごが
合わせて5になるように動かす
（2問目はてんとう虫）",,,,B,,未対応,,
,90,L20106,,5〜6,数字(Math),"ペルくんがルルちゃんのところへ
いく際に
何本お花を摘めるか数える",,,,B,,未対応,,
,97,L00046,,0〜2,数字(Math),書かれている物の個数を数える,,,かず,C,,未対応,,
,126,L00038,,0〜2,数字(Math),"正しい階段になるようにブロックを
選んで並べる",,,,D,,対応済み,かず,10
,168,L20105,,5〜6,数字(Math),"ペルくんが3回ボールを投げ
まるのところにあたった
ペルくんが合計で何点か当てる",,,,D,,対応済み,かず,11
,181,L00045,,0〜2,数字(Math),数字を順番に並べる,,,,,,未対応,,
,184,L00054,,0〜2,数字(Math),どんぐりの数が多い道を選ぶ,,,,,,未対応,,
,188,L00066,,0〜2,数字(Math),"1～10の数字の空いている部分に
適切な物を選ぶ",,,,,,未対応,,
,214,L00116,,0〜2,数字(Math),1～8を順番に線で繋ぐ,,,,,,未対応,,
,230,L10012,,3〜4,数字(Math),多いのはどっちかを当てる,,,,,,未対応,,
,241,L10023,,3〜4,数字(Math),多いのはどっちかを当てる,,,,,,未対応,,
,242,L10025,,3〜4,数字(Math),多いのはどっちか当てる,,,,,,未対応,,
,250,L10038,,3〜4,数字(Math),"指定の数字飛びで
数字を正しい順番に並べる",,,,,,未対応,,
,260,L10060,,3〜4,数字(Math),二つ合わせて5になるようにする,,,,,,未対応,,
,263,L10066,,3〜4,数字(Math),積み木の数を数えて足し算をする,,,,,,未対応,,
,264,L10067,,3〜4,数字(Math),積み木の数を数えて足し算をする,,,,,,未対応,,
,271,L10079,,3〜4,数字(Math),"二つの数を合わせたら
いくつになるか当てる",,,,,,未対応,,
,334,L20100,,5〜6,数字(Math),お金を数え、全部でいくらか選ぶ,,,,,,未対応,,
,335,L20101,,5〜6,数字(Math),"ペルくんがルルちゃんのところへ
いく際に
何本お花を摘めるか数える",,,,,,未対応,,
,339,L20110,,5〜6,数字(Math),"ペルくんがどんぐりを拾っていく
合計でどんぐりが5個になるよう
進む道を選ぶ",,,,,,未対応,,
,340,L20111,,5〜6,数字(Math),"ペルくんがどんぐりを拾っていく
合計でどんぐりが6個になるよう
進む道を選ぶ",,,,,,未対応,,
,344,L20142,,5〜6,数字(Math),"貝の数が多いほうを通りながら
星からハートまで進む",,,,,,未対応,,
,2,L00003,,0〜2,認識(Recognition),かげを同じものに合わせる,,,,A,○,未対応,,
,4,L00014,,0〜2,認識(Recognition),左右の絵が同じかどうかで◦×を押す,"・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,5,L00016,,0〜2,認識(Recognition),一番長いものを選ぶ,"・背景スクロール
　一瞬背景右側が途切れて
　黒い背景が見えてしまう",,,A,,未対応,,
,6,L00019,,0〜2,認識(Recognition),左右の絵が同じかどうかで◦×を押す,"・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,7,L00021,,0〜2,認識(Recognition),絵に合う影を選ぶ,,,,A,,未対応,,
,8,L00022,,0〜2,認識(Recognition),女の子が身に付けている物を選ぶ,,,,A,,未対応,,
,11,L00032,,0〜2,認識(Recognition),ピースを動かして絵を作る,,,,A,,未対応,,
,12,L00033,,0〜2,認識(Recognition),"走ってきた車を見て、どう走って
きたかを選ぶ",,,,A,,未対応,,
,16,L00044,,0〜2,認識(Recognition),隠れている動物を見つける,"・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,21,L00071,,0〜2,認識(Recognition),大きさがあっている物を選ぶ,,,,A,,未対応,,
那須,34,L10081,,3〜4,認識(Recognition),重いものを当てる,"・シーソーの位置がずれている
　ゲームとして成り立っていない
↓
OK",,"OK
※シーソー系のゲームは、どれも位置も正常で／ゲームとしても成立（おかしな結果は無い）していた。",A,,未対応,,
,40,L20002,,5〜6,認識(Recognition),"左の家が右のように回転したら
どうなるかを選ぶ",,,,A,○,未対応,,
,41,L20004,,5〜6,認識(Recognition),"ペルくんから見ると
どのように見えるか当てる",,,,A,,未対応,,
,42,L20008,,5〜6,認識(Recognition),"左の家が右のように回転したら
どうなるかを選ぶ","・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,44,L20024,,5〜6,認識(Recognition),"二枚の絵を重ねたら
どんなふうに見えるか選ぶ",,,,A,○,未対応,,
,46,L20035,,5〜6,認識(Recognition),"形全体に絵の具を塗って
紙の上を転がす
どんな模様が出来るか選ぶ",,,,A,,未対応,,
,47,L20038,,5〜6,認識(Recognition),"四角をつくるには
どれがいるか選ぶ",,,,A,,未対応,,
,49,L20049,,5〜6,認識(Recognition),"ボールが箱にたくさん入っている
矢印の方に箱を倒すと
ボールがどんなふうになるか選ぶ","・問題アニメーションと下の選択肢
　問題変更タイミングがずれている
　デジタルコペルでも同じなので
　仕様かもしれません",,,A,,未対応,,
,50,L20052,,5〜6,認識(Recognition),"絵や形が変わっていく
次にくるものを選ぶ","・開始時に一瞬だけ
　問題のようなものが見える",,,A,,未対応,,
,53,L20066,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ","・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,54,L20071,,5〜6,認識(Recognition),"絵の右側に鏡を立てて
覗いた時に、どのように見えるか
選ぶ",,,,A,,未対応,,
,55,L20073,,5〜6,認識(Recognition),"色々な家があり、空から見ると
どのように見えるか選ぶ",・開始時に一瞬だけ緑の家が見える,,,A,,未対応,,
,61,L00001,,0〜2,認識(Recognition),ふうせんのいろをあわせる,,,,B,,未対応,,
,63,L00020,,0〜2,認識(Recognition),絵に合う影を選ぶ,,,,B,,未対応,,
,68,L00063,,0〜2,認識(Recognition),"走ってきた車を見て、どう走って
きたかを選ぶ",,,,B,,未対応,,
,78,L10061,,3〜4,認識(Recognition),"ボールを打って落としたら
どのバケツに入るか下から選ぶ",,,,B,,未対応,,
,83,L20014,,5〜6,認識(Recognition),"ペルくんが片方の手に
もっているものはどれか選ぶ",,,,B,,未対応,,
,84,L20023,,5〜6,認識(Recognition),"空いているところに何が入るか
右から選ぶ",,,,B,,未対応,,
,86,L20037,,5〜6,認識(Recognition),"二枚の絵を重ねたら
どんなふうに見えるか選ぶ",,,,B,,未対応,,
,87,L20050,,5〜6,認識(Recognition),"それぞれテーブルの上のものは
どんなふうに見えているか当てる",,,,B,,未対応,,
,88,L20053,,5〜6,認識(Recognition),"絵や形が変わっていく
次にくるものを選ぶ",,,,B,,未対応,,
,89,L20070,,5〜6,認識(Recognition),"絵の右側に鏡を立てて
覗いた時に、どのように見えるか
選ぶ",,,,B,,未対応,,
,92,L00007,,0〜2,認識(Recognition),"あいているところに当てはまる
記号を右から選ぶ",,,しこう,C,,未対応,,
,95,L00029,,0〜2,認識(Recognition),かげを同じものに合わせる,,,しこう,C,,未対応,,
,103,L10003,,3〜4,認識(Recognition),"四角の中の画像のように見えている
キャラを選ぶ",,,しこう,C,,未対応,,
,111,L20030,,5〜6,認識(Recognition),"ペルくんが片方の手に
もっているものはどれか選ぶ",,,しこう,C,,未対応,,
,112,L20033,,5〜6,認識(Recognition),"形全体に絵の具を塗って
紙の上を転がす
どんな模様が出来るか選ぶ",,,,C,,未対応,,
,115,L20064,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,しこう,C,,未対応,,
,116,L20068,,5〜6,認識(Recognition),"積み木が矢印の方に
一回転がったとき
上に何が来るか選ぶ",,,しこう,C,,未対応,,
,117,L20072,,5〜6,認識(Recognition),"色々な家があり、空から見ると
どのように見えるか選ぶ",,,しこう,C,,未対応,,
,122,L00009,,0〜2,認識(Recognition),かげと同じ虫を合わせる,,,,D,,対応済み,しこう,9
,123,L00011,,0〜2,認識(Recognition),説明に合うものを選ぶ,,,,D,,対応済み,しこう,9
,124,L00017,,0〜2,認識(Recognition),左右の絵が同じかどうかで◦×を押す,,,,D,,対応済み,しこう,9
,127,L00053,,0〜2,認識(Recognition),同じ色の絵を探して箱に入れる,,,,D,,対応済み,しこう,10
,130,L00069,,0〜2,認識(Recognition),大きい方を選ぶ,,,,D,,対応済み,しこう,10
,140,L10036,,3〜4,認識(Recognition),"おもちゃ屋さんに
沢山のおもちゃが並んでいる
影にぴったり合うものを合わせる",,,,D,,対応済み,しこう,9
,145,L10062,,3〜4,認識(Recognition),"ボールを打って落としたら
どのバケツに入るか下から選ぶ",,,,D,,対応済み,しこう,10
,147,L10073,,3〜4,認識(Recognition),"キャラやものなどが水に映ると
どんなふうに見えるか当てる",,,,D,,対応済み,しこう,10
,150,L10090,,3〜4,認識(Recognition),お手本と同じになるよう置く,,,,D,,対応済み,しこう,11
,155,L20018,,5〜6,認識(Recognition),"黒丸を中心に回転したら
どうなるかを選ぶ",,,,D,,対応済み,しこう,9
,156,L20025,,5〜6,認識(Recognition),"二枚の絵を重ねたら
どんなふうに見えるか選ぶ",,,,D,,対応済み,しこう,9
,157,L20041,,5〜6,認識(Recognition),"ボールが箱にたくさん入っている
矢印の方に箱を倒すと
ボールがどんなふうになるか選ぶ",,,,D,,対応済み,しこう,9
,158,L20048,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,,D,,対応済み,しこう,9
,160,L20069,,5〜6,認識(Recognition),"ローラーを矢印方向に動かしたとき
紙の上にどのような模様が出来るか
選ぶ",,,,D,,対応済み,かず,9
,163,L20088,,5〜6,認識(Recognition),"空いているところに何が入るか
右から選ぶ",,,,D,,対応済み,しこう,10
,169,L20124,,5〜6,認識(Recognition),"お手本と同じように並んでいる
虫を見つける",,,,D,,対応済み,しこう,11
那須➡代表,171,L00005,,0〜2,認識(Recognition),"何度か同じ物を探す
電車→バス→ヘリ等
（下部テキストと内容にズレが
あり、進行不能になる不具合有）",〇,,問題なし,E,,未対応,,
,173,L00012,,0〜2,認識(Recognition),説明に合うものを選ぶ,,,,,,未対応,,
,174,L00013,,0〜2,認識(Recognition),説明に合うものを選ぶ,,,,,,未対応,,
,186,L00064,,0〜2,認識(Recognition),"走ってきた車を見て、どう走って
きたかを選ぶ",,,,,,未対応,,
,187,L00065,,0〜2,認識(Recognition),"走ってきた車を見て、どう走って
きたかを選ぶ",,,,,,未対応,,
,189,L00072,,0〜2,認識(Recognition),大きさがあっている物を選ぶ,,,,E,,未対応,,
,227,L10007,,3〜4,認識(Recognition),"順番に画像を3枚見て、4枚目になる
であろう画像を選ぶ",,,,,,未対応,,
,229,L10010,,3〜4,認識(Recognition),どちらが重いか選ぶ,,,,,,未対応,,
,231,L10013,,3〜4,認識(Recognition),同じか違うかを当てる,,,,,,未対応,,
,234,L10016,,3〜4,認識(Recognition),重いものを当てる,,,,,,未対応,,
,243,L10026,,3〜4,認識(Recognition),同じか違うかを当てる,,,,,,未対応,,
,249,L10037,,3〜4,認識(Recognition),"積み木で家を作ったら影になった
どの家の影か当てる",,,,,,未対応,,
,261,L10063,,3〜4,認識(Recognition),"左のように鏡の前にカップを置くと
どのように映るか当てる
二問目はペルくん",,,,,,未対応,,
,266,L10071,,3〜4,認識(Recognition),"キャラやものなどが水に映ると
どんなふうに見えるか当てる",,,,,,未対応,,
,267,L10072,,3〜4,認識(Recognition),"キャラやものなどが水に映ると
どんなふうに見えるか当てる",,,,,,未対応,,
,268,L10074,,3〜4,認識(Recognition),"キャラやものなどが水に映ると
どんなふうに見えるか当てる",,,,,,未対応,,
,269,L10075,,3〜4,認識(Recognition),"キャラやものなどが水に映ると
どんなふうに見えるか当てる",,,,,,未対応,,
,272,L10080,,3〜4,認識(Recognition),同じものを見つける,,,,,,未対応,,
,289,L20005,,5〜6,認識(Recognition),"机の上の積み木をペルくんから
どのように見えるか当てる",,,"頻繁に左の絵が回るので
少し見づらいなと感じました",,,未対応,,
,290,L20006,,5〜6,認識(Recognition),"ペルくんの所に特定の果物が来ると
指定の動物の前にどの果物が来るか
当てる",,,,,,未対応,,
,292,L20011,,5〜6,認識(Recognition),"空いているところに何が入るか
右から選ぶ",,,,,,未対応,,
,293,L20013,,5〜6,認識(Recognition),"黒丸を中心に回転したら
どうなるかを選ぶ",,,,,,未対応,,
,294,L20015,,5〜6,認識(Recognition),"二枚の絵を重ねたら
どんなふうに見えるか選ぶ",,,,,,未対応,,
,295,L20016,,5〜6,認識(Recognition),"左の家が右のように回転したら
どうなるかを選ぶ",,,,,,未対応,,
,302,L20032,,5〜6,認識(Recognition),"空いているところに何が入るか
右から選ぶ",,,,,,未対応,,
,303,L20034,,5〜6,認識(Recognition),"形全体に絵の具を塗って
紙の上を転がす
どんな模様が出来るか選ぶ",,,,,,未対応,,
,304,L20036,,5〜6,認識(Recognition),"空いているところに何が入るか
右から選ぶ",,,,,,未対応,,
,305,L20039,,5〜6,認識(Recognition),"積み木が矢印の方に
一回転がったとき
上に何が来るか選ぶ",,,,,,未対応,,
,306,L20040,,5〜6,認識(Recognition),"積み木を色々な方向から見ている
それぞれどんな風に見えているか
絵の中から見えている形を選ぶ",,,,,,未対応,,
,307,L20042,,5〜6,認識(Recognition),"絵や形が変わっていく
次にくるものを選ぶ",,,,,,未対応,,
,308,L20043,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,,,,未対応,,
,310,L20045,,5〜6,認識(Recognition),"絵や形が変わっていく
次にくるものを選ぶ",,,,,,未対応,,
,312,L20051,,5〜6,認識(Recognition),"積み木を色々な方向から見ている
それぞれどんな風に見えているか
絵の中から見えている形を選ぶ",,,,,,未対応,,
,313,L20054,,5〜6,認識(Recognition),"絵や形が変わっていく
次にくるものを選ぶ",,,,,,未対応,,
,314,L20055,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,,,,未対応,,
,316,L20061,,5〜6,認識(Recognition),"絵や形が変わっていく
次に出てくるものを選ぶ",,,,,,未対応,,
,317,L20062,,5〜6,認識(Recognition),"絵や形が変わっていく
次に出てくるものを選ぶ",,,,,,未対応,,
,318,L20065,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,,,,未対応,,
,319,L20067,,5〜6,認識(Recognition),"お手本の絵を作るのに
一つだけ使わないものを選ぶ",,,,,,未対応,,
,322,L20082,,5〜6,認識(Recognition),"絵の右側に鏡を立てて
覗いた時に、どのように見えるか
選ぶ",,,,,,未対応,,
,323,L20083,,5〜6,認識(Recognition),"ローラーを矢印方向に動かしたとき
紙の上にどのような模様が出来るか
選ぶ",,,,,,未対応,,
,326,L20087,,5〜6,認識(Recognition),"それぞれテーブルの上のものは
どんなふうに見えているか当てる",,,,,,未対応,,
,337,L20104,,5〜6,認識(Recognition),"左のようにものを置くと
鏡にどのようにうつるか当てる",,,,,,未対応,,
,343,L20125,,5〜6,認識(Recognition),"お手本と同じように並んでいる
虫を見つける",,,,,,未対応,,
,,,,,,,,,,,,,,
,,,,,,,,,,,現在の数,残りで必要な数,,
,,,,,,,,,,Aの合計数,60,0,初回納品,
,,,,,,,,,,Bの合計数,30,0,4月納品,
,,,,,,,,,,Cの合計数,30,0,5月納品,
,,,,,,,,,,Dの合計数,50,-20,6月納品,
,,,,,,,,,,Eの合計数,10,20,7月納品,
,,,,,,,,,,その他,165,60,,
