,,,,,,,,,,,,,,
,バーコード文字列,シーン名,サムネイル,年齢,カテゴリ,説明,不具合,,備考,リリース,アルファ版,a,分類,月
,283,L10108,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はQqRr",,,,,,未対応,,
,284,L10109,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はSsTt",,,,,,未対応,,
,285,L10110,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はUuVv",,,,,,未対応,,
,286,L10111,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はWwXx",,,,,,未対応,,
,287,L10112,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はYyZz",,,,,,未対応,,
,300,L20028,,5〜6,言語(Language),文字を並び替えて言葉を作る,,,,,,未対応,,
,327,L20090,,5〜6,言語(Language),"買い物袋に書いてあるものを買って
ルルちゃんと家に帰る

不具合
不正解の「さんま」が押せない
ゲームクリア自体には影響なし",〇,,,,,未対応,,
,328,L20091,,5〜6,言語(Language),"買い物袋に書いてあるものを買って
ルルちゃんと家に帰る",,,,,,未対応,,
,329,L20092,,5〜6,言語(Language),正しい言葉を選んで迷路を進む,,,,,,未対応,,
,330,L20093,,5〜6,言語(Language),正しい言葉を選んで迷路を進む,,,,,,未対応,,
,331,L20096,,5〜6,言語(Language),文字を読んで正しい方に進む,,,,,,未対応,,
,332,L20097,,5〜6,言語(Language),文字を読んで正しい方に進む,,,,,,未対応,,
,333,L20098,,5〜6,言語(Language),文字を読んで正しい方に進む,,,,,,未対応,,
,1,L00002,,0〜2,図形(Shapes),形を使って飛行機を作る,,,,A,○,未対応,,
,3,L00004,,0〜2,図形(Shapes),形を使って家を作る,,,,A,,未対応,,
,22,L00084,,0〜2,図形(Shapes),道に沿うように点を繋ぐ,,,,A,,未対応,,
,23,L10002,,3〜4,図形(Shapes),"ハサミで切った図形を開くと
どの形になるか選ぶ",,,,A,○,未対応,,
,32,L10068,,3〜4,図形(Shapes),"星の所に指を置くと星が動く
星を追いかけていくと絵が出来る
何が出来るか星を動かして確認する

答えが家",,,,A,,未対応,,
,33,L10076,,3〜4,図形(Shapes),"星の所に指を置くと星が動く
星を追いかけていくと絵が出来る
何が出来るか星を動かして確認する

答えが船",,,,A,,未対応,,
,45,L20026,,5〜6,図形(Shapes),"折り紙を半分に折って切った
開いたらどうなるか選ぶ",,,,A,,未対応,,
,51,L20057,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",・空いている箇所に判定がある,,OK?空いていなかった,A,,未対応,,
,52,L20059,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",・空いている箇所に判定がある,,OK?空いていなかった,A,,未対応,,
,57,L20078,,5〜6,図形(Shapes),"空いているところにピッタリ
当てはまるものを選ぶ","・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,62,L00018,,0〜2,図形(Shapes),かたちを使ってロケットを作る,,,,B,,未対応,,
,74,L10011,,3〜4,図形(Shapes),"どれとどれを組み合わせたら
お手本と同じになるか二つ選ぶ",,,,B,,未対応,,
,91,L00006,,0〜2,図形(Shapes),形を使ってびっくりばこを作る,,,しこう,C,,未対応,,
,102,L00085,,0〜2,図形(Shapes),道に沿うように点を繋ぐ,,,しこう,C,,未対応,,
,108,L20012,,5〜6,図形(Shapes),形を使って船を作る,,,しこう,C,,未対応,,
,109,L20019,,5〜6,図形(Shapes),形を使って熱帯魚を作る,,,しこう,C,,未対応,,
,110,L20029,,5〜6,図形(Shapes),"折り紙を半分に折って切った
開いたらどうなるか選ぶ",,,しこう,C,,未対応,,
,113,L20056,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",・空いている箇所に判定がある,,空いている、OUT,C,,未対応,,
,119,L20080,,5〜6,図形(Shapes),"空いているところにピッタリ
当てはまるものを選ぶ",,,しこう,C,,未対応,,
,121,L00008,,0〜2,図形(Shapes),かたちをつかって船をつくる,,,,D,,対応済み,しこう,9
,133,L00086,,0〜2,図形(Shapes),矢印の方向に線を引く,,,,D,,対応済み,しこう,10
,134,L00094,,0〜2,図形(Shapes),点を繋いでキリンの首を書く,,,,D,,対応済み,しこう,11
,136,L00106,,0〜2,図形(Shapes),点を繋いでパンダの輪郭を書く,,,,D,,対応済み,しこう,11
,137,L00123,,0〜2,図形(Shapes),"矢印の方向に線を引いて
雨を降らせる",,,,D,,対応済み,しこう,11
,138,L10006,,3〜4,図形(Shapes),形を動かして模様を作る,,,,D,,対応済み,しこう,9
,139,L10030,,3〜4,図形(Shapes),どの形を使って作るのかを当てる,,,,D,,対応済み,しこう,9
,152,L10097,,3〜4,図形(Shapes),"乗り物が隠れている
1から10まで順番に線で結ぶ",,,,D,,対応済み,かず,11
,159,L20060,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",・空いている箇所に判定がある,,空いている、OUT,D,,対応済み,しこう,10
,167,L20102,,5〜6,図形(Shapes),"ペルくんが四角の中のものを
全て拾ってお家に帰れるように
迷路を抜ける",・動きが異常。クリアはできるがまともにペルくんが動かない。,,微妙,D,,対応済み,しこう,11
,170,L20143,,5〜6,図形(Shapes),迷子になったうさぎを家に帰す,,,,D,,対応済み,しこう,11
,182,L00048,,0〜2,図形(Shapes),見本と同じように積木を並べる,,,,E,,未対応,,
,183,L00049,,0〜2,図形(Shapes),見本と同じように積木を並べる,,,,,,未対応,,
,194,L00089,,0〜2,図形(Shapes),点線をなぞってお団子を書く,,,,,,未対応,,
,195,L00090,,0〜2,図形(Shapes),点線をなぞって丸を書く,,,,,,未対応,,
,196,L00091,,0〜2,図形(Shapes),飼い主と犬を線で繋ぐ,,,,E,,未対応,,
,197,L00092,,0〜2,図形(Shapes),凧と子供を線で繋ぐ,,,,,,未対応,,
,198,L00093,,0〜2,図形(Shapes),点線をなぞって旗を書く,,,,,,未対応,,
,201,L00100,,0〜2,図形(Shapes),点線をなぞりブドウを書く,,,,,,未対応,,
,202,L00101,,0〜2,図形(Shapes),点を繋いでハートを書く,,,,,,未対応,,
,203,L00102,,0〜2,図形(Shapes),"矢印の方向に線を引いて
ジャングルジムを書く",,,,,,未対応,,
,204,L00103,,0〜2,図形(Shapes),"点を繋いでライオンの
たてがみを書く",,,,,,未対応,,
,205,L00104,,0〜2,図形(Shapes),点を繋いでキャンディを書く,,,,E,,未対応,,
,207,L00108,,0〜2,図形(Shapes),もぐらを避けて迷路を抜ける,,,,,,未対応,,
,208,L00110,,0〜2,図形(Shapes),点をなぞって線を書く,,,,,,未対応,,
,209,L00111,,0〜2,図形(Shapes),点をなぞって線を書く,,,,,,未対応,,
,210,L00112,,0〜2,図形(Shapes),点をなぞって線を書く,,,,,,未対応,,
,211,L00113,,0〜2,図形(Shapes),線を引いてかたつむりの甲羅を書く,,,,,,未対応,,
,212,L00114,,0〜2,図形(Shapes),点を繋いで蛇を書く,,,,,,未対応,,
,213,L00115,,0〜2,図形(Shapes),点を繋いで雪だるまを書く,,,,,,未対応,,
,215,L00117,,0〜2,図形(Shapes),"矢印の方向に線を引いて
くつしたを書く",,,,,,未対応,,
,216,L00118,,0〜2,図形(Shapes),点を繋いで星を書く,,,,,,未対応,,
,217,L00119,,0〜2,図形(Shapes),点を繋いで太陽を書く,,,,E,,未対応,,
,218,L00120,,0〜2,図形(Shapes),点を繋いでテントを書く,,,,,,未対応,,
,219,L00121,,0〜2,図形(Shapes),"点を繋いでバスを書く
（指示文がテントをかいてねに
なっている。L00120のものが
間違って入っている？）",〇,,問題あり。消す,,,未対応,,
,220,L00122,,0〜2,図形(Shapes),綱引きの綱を線で繋ぐ,,,,,,未対応,,
,223,L00126,,0〜2,図形(Shapes),スキーの滑る道をなぞる,,,,,,未対応,,
,224,L00127,,0〜2,図形(Shapes),落ち葉の落ちる軌道をなぞる,,,,,,未対応,,
,225,L10001,,3〜4,図形(Shapes),"道がつながるようにピースを
並べる",,,,,,未対応,,
,226,L10004,,3〜4,図形(Shapes),形を動かして模様を作る,,,,,,未対応,,
,232,L10014,,3〜4,図形(Shapes),"空いているところに
ぴったり合う形はどれかを当てる

不具合
お手本が見えない
選択肢の形が一部しか見えない",〇,,問題あり消すこと,E,,未対応,,
,233,L10015,,3〜4,図形(Shapes),"空いているところに
ぴったり合う形はどれかを当てる

不具合
選択肢の形が一つしか見えない",〇,,問題あり消すこと,,,未対応,,
,235,L10017,,3〜4,図形(Shapes),形を使ってチューリップを作る,,,,,,未対応,,
,236,L10018,,3〜4,図形(Shapes),形を使ってクリスマスツリーを作る,,,,,,未対応,,
,237,L10019,,3〜4,図形(Shapes),丸を作るのにどれがいるか当てる,,,,,,未対応,,
,246,L10031,,3〜4,図形(Shapes),どの形を使って作るのかを当てる,,,,,,未対応,,
,247,L10032,,3〜4,図形(Shapes),どの形を使って作るのかを当てる,,,,,,未対応,,
,278,L10096,,3〜4,図形(Shapes),"乗り物が隠れている
1から10まで順番に線で結ぶ",,,,,,未対応,,
,288,L20003,,5〜6,図形(Shapes),"半分に折って重ねると
どのように見えるか当てる",,,,,,未対応,,
,297,L20020,,5〜6,図形(Shapes),形を使ってラクダを作る,,,,,,未対応,,
,298,L20021,,5〜6,図形(Shapes),形を使ってニワトリを作る,,,,,,未対応,,
,309,L20044,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",,,,,,未対応,,
,315,L20058,,5〜6,図形(Shapes),"形を重ねて形を作る
出来る形の影を選ぶ",・空いている箇所に判定がある,,空いている、OUT,,,未対応,,
,321,L20079,,5〜6,図形(Shapes),"空いているところにピッタリ
当てはまるものを選ぶ",,,,,,未対応,,
,336,L20103,,5〜6,図形(Shapes),"ペルくんが四角の中のものを
全て拾ってお家に帰れるように
迷路を抜ける",・動きが異常。クリアはできるがまともにペルくんが動かない。,,微妙,,,未対応,,
,15,L00042,,0〜2,数字(Math),"帽子に書かれた数字のぶんだけ
皿にリンゴを乗せる",,,,A,,未対応,,
,17,L00047,,0〜2,数字(Math),書かれている物の個数を数える,,,,A,,未対応,,
